customer_id,name,email,phone,address,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
1,Ricky Stephens,nlarson@example.net,(741)775-9736,"41834 Robert Radial Apt. 277
Hannahton, KY 30189",2024-02-26,False,Mexican,96,1.7
2,Amber Wright,welchmatthew@example.org,510.377.6259x27535,"524 Lyons Lock
Williammouth, CA 30650",2020-10-25,False,Japanese,62,3.3
3,Debra Hamilton,ravencruz@example.org,+1-503-945-2720x868,"8373 Williams Ridges
West Heather, NE 59019",2024-06-29,True,Mexican,90,4.5
4,Matthew Hernandez,jenniferjohnston@example.org,890.458.0787,"5580 Harris Loop Suite 981
Steeleland, MH 87580",2024-07-05,True,Indian,24,3.9
5,Sheila Lowe,ymoreno@example.com,7007028683,"091 Perry Vista
Samuelberg, WI 98722",2024-05-26,False,Japanese,91,2.1
6,Donald Jackson,jason89@example.com,(815)431-0157x905,"531 Laurie Forge
Yangtown, AS 85258",2020-09-17,False,Indian,86,2.4
7,Christian Howard,mgreene@example.org,600.454.0928,"7923 Lyons Glen
Josephton, SC 64874",2022-01-26,False,Indian,17,4.2
8,Joe Greene,meyerpamela@example.com,658-534-7205,"3206 Cook Courts Apt. 468
Port Ryanborough, HI 13100",2020-10-27,False,Italian,91,1.1
9,Charles Brown,besparza@example.org,+1-506-990-1599,"46687 Price Hills Apt. 021
New Tammyfurt, MD 66199",2024-06-28,False,Chinese,21,4.1
10,Pamela Collins,qfarrell@example.com,001-800-935-9620x42970,"623 Erika Alley Suite 945
Lake Nathan, MT 81740",2024-03-29,False,Japanese,63,3.0
11,Michael Oneill,tbrewer@example.org,502.291.4031,"035 Joshua Mission
Wilsonland, NY 32858",2023-03-13,True,Japanese,8,4.3
12,Julie Morgan,annawright@example.org,+1-939-396-6482x8104,"357 Caitlin Keys Apt. 085
Lake Chelseahaven, KS 30479",2020-10-18,True,Mexican,96,3.3
13,Nicholas Smith,carljones@example.org,575.702.8097x132,"3114 James Heights Suite 940
New Walter, OK 01651",2020-03-25,False,Indian,50,1.3
14,Stephen Williams,noblevictor@example.net,338.442.7883x134,"753 Brandt Views
West Christinaside, MN 14217",2020-09-02,False,Japanese,93,1.9
15,Amber Johnson,jaimegomez@example.net,+1-629-920-4291x5470,"0412 Chambers Greens
Port Jennaland, MS 35080",2022-07-22,True,Italian,51,2.2
16,Linda Baker,miahorton@example.org,832.317.9670,"80892 Brenda Corners
South Williamberg, WV 08559",2023-02-26,False,Japanese,34,3.8
17,Nathan Meyer,brianwood@example.com,(532)234-4017x2213,"95411 Davis Springs
Blankenshipton, IN 37218",2022-03-29,False,Chinese,10,2.6
18,Jennifer Rivera,ypham@example.net,+1-687-568-0047x83455,"8800 Wesley Court Apt. 211
South Amandatown, DC 66338",2023-11-02,False,Italian,95,3.2
19,Taylor Jenkins,nathaniel18@example.org,721.432.4869,"5447 Glover Centers Apt. 365
Johnborough, DE 67067",2024-06-18,False,Indian,21,2.3
